Cation,anion,compound,surface,h,r_cat,logP_cat,MW_cat,N_rot_cat,velocity,I_ss,Potential,MW_an,Bertz_cat,r_an,N_qN_cat,σ_s,γ_s,TPSA_an,Rq,TPSA_cat,BalJ_cat,logP_an,θ_s,I_H2O,T,x_IL,N_HA_cat,Bertz_an,BalJ_an,μ,friction_bin,cation_bin,stratify_label,original_index,friction_pred,friction_diff,error_flag
[HMIM]+,[FAP]-,zero,HOPG,0.437,3.540263249,1.8929,167.276,5,6.0,0,1.5,445.004,215.3680851,3.775688868,0,0.05,-0.0002,0.0,0.89,8.81,2.153242802,7.1942,85.0,0,298,100.0,1,468.4882895,7.871070033,0.001,0.0,167.276,0_167.276,,,,
[BMIm]+,[PF6]-,zero,HOPG,0.0,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,3.3824,85.0,0,298,0.0,1,62.74506838,4.431293675,0.002,0.0,139.222,0_139.222,,,,
[PA]+,[F]-,zero,mica,0.666666667,2.642365161,-0.3617,60.12,1,5.0,0,0.0,45.017,5.245112498,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.974744871,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,0.843037975,6.0,60.12,6_60.12,,,,
[HOC3Py] +,[TFSI]-,zero,mica,0.756,3.236493461,0.3565,138.19,3,6.0,0,0.0,280.147,173.8722824,3.359227186,0,1.77,-0.16,82.38,0.0569,24.11,2.426522347,1.0593,0.0,0,293,100.0,1,384.7328028,5.284512596,0.18,3.0,138.19,3_138.19,,,,
"[P6,6,6,14]+",[AOT]-,hexadecane,stainless steel,0.89,5.174799948,12.446,483.87,28,6.0,1,0.0,421.576,319.1282666,4.637037402,0,0.07,0.01,109.8,0.9,0.0,4.337445108,3.8095,72.0,0,298,0.508,0,544.7574562,4.726289834,0.56,5.0,483.87,5_483.87,,,,
"[P6,6,6,14]+",[DS]-,hexadecane,stainless steel,1.0,5.174799948,12.446,483.87,28,6.0,1,0.0,265.395,319.1282666,3.990255029,0,0.07,0.01,66.43,0.9,0.0,4.337445108,3.3841,72.0,0,298,0.613,0,249.2312434,3.038016531,0.77,5.0,483.87,5_483.87,,,,
"[P6,6,6,14]+",[BEHP]-,zero,HOPG,3.3,5.174799948,12.446,483.87,28,6.0,0,-1.0,321.418,319.1282666,4.32349866,0,0.05,-0.0002,58.59,0.89,0.0,4.337445108,4.9208,85.0,0,298,100.0,0,259.4505415,4.075382025,0.002,0.0,483.87,0_483.87,,,,
"[P4,4,4,1 ]+",[TFSI]-,zero,HOPG,3.6,3.951373459,5.0341,217.357,9,6.0,0,1.0,280.147,98.62953293,3.359227186,0,0.05,-0.0002,82.38,0.89,0.0,3.889782595,1.0593,85.0,0,298,100.0,0,384.7328028,5.284512596,0.018,1.0,217.357,1_217.357,,,,
[EA]+,[N]-,zero,mica,0.1,2.431285504,-0.7518,46.093,0,5.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.04905363,1.0,46.093,1_46.093,,,,
[EA]+,[N]-,zero,mica,0.28,2.431285504,-0.7518,46.093,0,20.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.281,4.0,46.093,4_46.093,,,,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.9,5.174799948,12.446,483.87,28,1.0,0,-1.0,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,3.1,0,682.1804819,1.591434542,0.0944,2.0,483.87,2_483.87,,,,
[EA]+,[F]-,zero,mica,0.537074148,2.431285504,-0.7518,46.093,0,5.0,0,0.0,45.017,2.754887502,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.632993162,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,0.929113924,6.0,46.093,6_46.093,,,,
[BMIm]+,[AOT]-,H2O,stainless steel,2.0,3.310978931,1.1127,139.222,3,6.0,1,0.0,421.576,190.8925906,4.637037402,0,0.07,0.01,109.8,0.8,8.81,2.422977778,3.8095,72.0,1,298,16.5,1,544.7574562,4.726289834,3.4,7.0,139.222,7_139.222,,,,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.48,5.174799948,12.446,483.87,28,6.0,0,-0.12,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,0.67,0,682.1804819,1.591434542,0.093,2.0,483.87,2_483.87,,,,
[BMIm]+,[AOT]-,H2O,Au(111),1.65,3.310978931,1.1127,139.222,3,6.0,0,0.5,421.576,190.8925906,4.637037402,0,0.7,-0.02,109.8,0.2,8.81,2.422977778,3.8095,60.0,1,298,16.5,1,544.7574562,4.726289834,0.442,5.0,139.222,5_139.222,,,,
[C10(C1Im)2]2+,[TFSI]-,zero,mica,1.6,4.268585015,2.8978,304.482,11,0.47,0,0.0,280.147,478.4344778,3.359227186,0,1.77,-0.16,82.38,0.0596,39.34,1.38550141,1.0593,0.0,0,298,100.0,0,384.7328028,5.284512596,0.0594,1.0,304.482,1_304.482,,,,
[EA]+,[N]-,zero,mica,0.75,2.431285504,-0.7518,46.093,0,20.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.469,5.0,46.093,5_46.093,,,,
[DMEA]+,[F]-,zero,mica,0.445396146,2.824148313,-0.8492,74.147,1,20.0,0,0.0,45.017,17.60964047,2.091441062,1,1.77,-0.16,40.13,0.0569,4.44,2.539538861,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,0.569620253,5.0,74.147,5_74.147,,,,
"[Py1,4]+",[FAP]-,zero,Au(111),5.001786,3.423597497,2.0269,142.266,3,6.0,0,-1.0,445.004,92.90138861,3.775688868,1,0.7,-0.02,0.0,1.0,0.0,2.21874475,7.1942,60.0,0,298,100.0,0,468.4882895,7.871070033,0.2,4.0,142.266,4_142.266,,,,
[BMIm]+,[PF6]-,zero,mica,1.9,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,1.77,-0.16,0.0,0.66,8.81,2.422977778,3.3824,0.0,0,298,100.0,1,62.74506838,4.431293675,0.11,2.0,139.222,2_139.222,,,,
"[P6,6,6,14]+",[DS]-,(CH2CO2Et)2,stainless steel,0.84,5.174799948,12.446,483.87,28,6.0,1,0.0,265.395,319.1282666,3.990255029,0,0.07,0.01,66.43,0.9,0.0,4.337445108,3.3841,72.0,0,298,0.493,0,249.2312434,3.038016531,0.74,5.0,483.87,5_483.87,,,,
[PA]+,[F]-,zero,mica,0.666666667,2.642365161,-0.3617,60.12,1,10.0,0,0.0,45.017,5.245112498,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.974744871,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,0.97721519,6.0,60.12,6_60.12,,,,
[EA]+,[N]-,zero,mica,0.75,2.431285504,-0.7518,46.093,0,30.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,369,100.0,0,26.26466251,2.803039488,0.133,3.0,46.093,3_46.093,,,,
[BMIm]+,[PF6]-,zero,HOPG,7.2,3.310978931,1.1127,139.222,3,20.0,0,0.0,144.962,190.8925906,2.529372901,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,3.3824,85.0,0,298,100.0,1,62.74506838,4.431293675,0.0015,0.0,139.222,0_139.222,,,,
"[P6,6,6,14]+",[BEHP]-,zero,HOPG,4.9,5.174799948,12.446,483.87,28,6.0,0,1.0,321.418,319.1282666,4.32349866,0,0.05,-0.0002,58.59,0.89,0.0,4.337445108,4.9208,85.0,0,298,100.0,0,259.4505415,4.075382025,0.012,0.0,483.87,0_483.87,,,,
[BMIm]+,[AOT]-,H2O,Au(111),3.97,3.310978931,1.1127,139.222,3,6.0,0,0.5,421.576,190.8925906,4.637037402,0,0.7,-0.02,109.8,0.2,8.81,2.422977778,3.8095,60.0,1,298,16.5,1,544.7574562,4.726289834,0.001,0.0,139.222,0_139.222,,,,
[DMEA]+,[F]-,zero,mica,0.445396146,2.824148313,-0.8492,74.147,1,5.0,0,0.0,45.017,17.60964047,2.091441062,1,1.77,-0.16,40.13,0.0569,4.44,2.539538861,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,0.508860759,5.0,74.147,5_74.147,,,,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.42,5.174799948,12.446,483.87,28,6.0,0,-1.0,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,0.67,0,682.1804819,1.591434542,0.0725,2.0,483.87,2_483.87,,,,
[EA]+,[F]-,zero,mica,1.667334669,2.431285504,-0.7518,46.093,0,5.0,0,0.0,45.017,2.754887502,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.632993162,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,0.871478873,6.0,46.093,6_46.093,,,,
[EA]+,[N]-,zero,mica,0.4,2.431285504,-0.7518,46.093,0,30.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.14,3.0,46.093,3_46.093,,,,
[HOC4Py] +,[TFSI]-,zero,mica,0.794,3.360073211,0.7466,152.217,4,6.0,0,0.0,280.147,186.0140383,3.359227186,0,1.77,-0.16,82.38,0.0569,24.11,2.275801287,1.0593,0.0,0,293,100.0,1,384.7328028,5.284512596,0.15,3.0,152.217,3_152.217,,,,
[BMIm]+,[AOT]-,H2O,Au(111),2.5,3.310978931,1.1127,139.222,3,6.0,0,0.0,421.576,190.8925906,4.637037402,0,0.7,-0.02,109.8,0.2,8.81,2.422977778,3.8095,60.0,1,298,16.5,1,544.7574562,4.726289834,0.524,5.0,139.222,5_139.222,,,,
[BMIm]+,[BF4]-,zero,mica,2.2,3.310978931,1.1127,139.222,3,20.0,0,0.0,86.804,190.8925906,2.328453731,0,1.77,-0.16,0.0,0.66,8.81,2.422977778,1.3,0.0,0,298,100.0,1,19.11941548,3.023715784,0.08,2.0,139.222,2_139.222,,,,
[BMIm]+,[AOT]-,H2O,Au(111),2.0,3.310978931,1.1127,139.222,3,6.0,0,-1.0,421.576,190.8925906,4.637037402,0,0.7,-0.02,109.8,0.2,8.81,2.422977778,3.8095,60.0,1,298,16.5,1,544.7574562,4.726289834,0.312,4.0,139.222,4_139.222,,,,
[PA]+,[N]-,zero,silica,1.69,2.642365161,-0.3617,60.12,1,10.0,0,0.0,62.004,5.245112498,2.192174955,1,0.2,-0.07,66.2,0.5,27.64,1.974744871,-0.2391,20.7,0,298,100.0,0,26.26466251,2.803039488,1.02,6.0,60.12,6_60.12,,,,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),5.32,5.174799948,12.446,483.87,28,6.0,0,0.25,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,3.1,0,682.1804819,1.591434542,0.1314,3.0,483.87,3_483.87,,,,
"[P6,6,6,14]+",[AOT]-,(CH2CO2Et)2,stainless steel,0.69,5.174799948,12.446,483.87,28,6.0,1,0.0,421.576,319.1282666,4.637037402,0,0.07,0.01,109.8,0.9,0.0,4.337445108,3.8095,72.0,0,298,1.002,0,544.7574562,4.726289834,0.28,4.0,483.87,4_483.87,,,,
[EA]+,[N]-,zero,mica,0.4,2.431285504,-0.7518,46.093,0,10.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.14,3.0,46.093,3_46.093,,,,
"[Py1,4]+",[FAP]-,zero,Au(111),4.829742,3.423597497,2.0269,142.266,3,6.0,0,-2.0,445.004,92.90138861,3.775688868,1,0.7,-0.02,0.0,1.0,0.0,2.21874475,7.1942,60.0,0,298,100.0,0,468.4882895,7.871070033,0.19,4.0,142.266,4_142.266,,,,
[EA]+,[N]-,zero,mica,0.1,2.431285504,-0.7518,46.093,0,20.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.100018741,2.0,46.093,2_46.093,,,,
[BMIm]+,[AOT]-,H2O,stainless steel,2.0,3.310978931,1.1127,139.222,3,6.0,1,-1.0,421.576,190.8925906,4.637037402,0,0.07,0.01,109.8,0.8,8.81,2.422977778,3.8095,72.0,1,298,16.5,1,544.7574562,4.726289834,3.4,7.0,139.222,7_139.222,,,,
[BMIm]+,[BF4]-,zero,mica,14.2,3.310978931,1.1127,139.222,3,20.0,0,0.0,86.804,190.8925906,2.328453731,0,1.77,-0.16,0.0,0.66,8.81,2.422977778,1.3,0.0,0,298,100.0,1,19.11941548,3.023715784,0.022,1.0,139.222,1_139.222,,,,
[HMIM]+,[FAP]-,zero,HOPG,3.0,3.540263249,1.8929,167.276,5,6.0,0,-1.5,445.004,215.3680851,3.775688868,0,0.05,-0.0002,0.0,0.89,8.81,2.153242802,7.1942,85.0,0,298,100.0,1,468.4882895,7.871070033,0.0183,1.0,167.276,1_167.276,,,,
[EA]+,[N]-,zero,mica,0.4,2.431285504,-0.7518,46.093,0,20.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.14,3.0,46.093,3_46.093,,,,
[BMIm]+,[AOT]-,H2O,stainless steel,3.8,3.310978931,1.1127,139.222,3,6.0,1,1.0,421.576,190.8925906,4.637037402,0,0.07,0.01,109.8,0.8,8.81,2.422977778,3.8095,72.0,1,298,16.5,1,544.7574562,4.726289834,0.009,0.0,139.222,0_139.222,,,,
[C10(C1Im)2]2+,[TFSI]-,zero,mica,1.6,4.268585015,2.8978,304.482,11,0.105,0,0.0,280.147,478.4344778,3.359227186,0,1.77,-0.16,82.38,0.0596,39.34,1.38550141,1.0593,0.0,0,298,100.0,0,384.7328028,5.284512596,0.08,2.0,304.482,2_304.482,,,,
"[P6,6,6,14]+",[BMB]-,PC,Au(111),2.42,5.174799948,12.446,483.87,28,12.0,0,-1.0,311.078,319.1282666,3.97427778,0,0.7,-0.02,71.06,0.835,0.0,4.337445108,2.0514,60.0,0,298,0.67,0,682.1804819,1.591434542,0.0736,2.0,483.87,2_483.87,,,,
[PA]+,[F]-,zero,mica,0.666666667,2.642365161,-0.3617,60.12,1,40.0,0,0.0,45.017,5.245112498,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.974744871,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.1,6.0,60.12,6_60.12,,,,
[EA]+,[N]-,zero,mica,0.1,2.431285504,-0.7518,46.093,0,30.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.114781888,3.0,46.093,3_46.093,,,,
[EA]+,[N]-,zero,mica,0.28,2.431285504,-0.7518,46.093,0,10.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.31,4.0,46.093,4_46.093,,,,
[PA]+,[F]-,zero,mica,1.875,2.642365161,-0.3617,60.12,1,20.0,0,0.0,45.017,5.245112498,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.974744871,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,3.855633803,7.0,60.12,7_60.12,,,,
[PA]+,[F]-,zero,mica,0.666666667,2.642365161,-0.3617,60.12,1,20.0,0,0.0,45.017,5.245112498,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.974744871,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,0.964556962,6.0,60.12,6_60.12,,,,
[HOC3Py] +,[TFSI]-,zero,mica,1.512,3.236493461,0.3565,138.19,3,6.0,0,0.0,280.147,173.8722824,3.359227186,0,1.77,-0.16,82.38,0.0569,24.11,2.426522347,1.0593,0.0,0,293,100.0,1,384.7328028,5.284512596,0.14,3.0,138.19,3_138.19,,,,
"[P6,6,6,14]+",[AOT]-,hexadecane,stainless steel,0.97,5.174799948,12.446,483.87,28,6.0,1,0.0,421.576,319.1282666,4.637037402,0,0.07,0.01,109.8,0.9,0.0,4.337445108,3.8095,72.0,0,298,0.0,0,544.7574562,4.726289834,0.95,6.0,483.87,6_483.87,,,,
[EA]+,[N]-,zero,mica,0.75,2.431285504,-0.7518,46.093,0,10.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,369,100.0,0,26.26466251,2.803039488,0.066,2.0,46.093,2_46.093,,,,
"[P6,6,6,14]+",[(iC8)2PO2]-,zero,HOPG,2.6,5.174799948,12.446,483.87,28,6.0,0,0.0,289.42,319.1282666,4.246635376,0,0.05,-0.0002,40.13,0.89,0.0,4.337445108,4.7694,85.0,0,298,100.0,0,281.6910727,4.359263597,0.002,0.0,483.87,0_483.87,,,,
[BMIm]+,[AOT]-,H2O,stainless steel,1.3,3.310978931,1.1127,139.222,3,6.0,1,1.0,421.576,190.8925906,4.637037402,0,0.07,0.01,109.8,0.8,8.81,2.422977778,3.8095,72.0,1,298,16.5,1,544.7574562,4.726289834,0.009,0.0,139.222,0_139.222,,,,
[EA]+,[N]-,zero,mica,0.1,2.431285504,-0.7518,46.093,0,10.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,298,100.0,0,26.26466251,2.803039488,0.080214931,2.0,46.093,2_46.093,,,,
[DMEA]+,[F]-,zero,mica,0.445396146,2.824148313,-0.8492,74.147,1,40.0,0,0.0,45.017,17.60964047,2.091441062,1,1.77,-0.16,40.13,0.0569,4.44,2.539538861,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,0.6,5.0,74.147,5_74.147,,,,
[BMIm]+,[BF4]-,zero,HOPG,0.0,3.310978931,1.1127,139.222,3,20.0,0,0.0,86.804,190.8925906,2.328453731,0,0.05,-0.0002,0.0,0.89,8.81,2.422977778,1.3,85.0,0,298,0.0,1,19.11941548,3.023715784,0.0002,0.0,139.222,0_139.222,,,,
[HOC4Py] +,[TFSI]-,zero,mica,1.588,3.360073211,0.7466,152.217,4,6.0,0,0.0,280.147,186.0140383,3.359227186,0,1.77,-0.16,82.38,0.0569,24.11,2.275801287,1.0593,0.0,0,293,100.0,1,384.7328028,5.284512596,0.12,3.0,152.217,3_152.217,,,,
[HOC4MPip]+,[TFSI]-,zero,mica,0.804,3.589900502,1.3894,172.292,4,6.0,0,0.0,280.147,119.0069869,3.359227186,1,1.77,-0.16,82.38,0.0569,20.23,2.172199717,1.0593,0.0,0,293,100.0,1,384.7328028,5.284512596,0.17,3.0,172.292,3_172.292,,,,
[EtA]+,[N]-,zero,mica,2.837894737,2.543129445,-1.7794,62.092,1,20.0,0,0.0,62.004,8.0,2.192174955,1,1.77,-0.16,66.2,0.0569,47.87,1.974744871,-0.2391,0.0,0,298,100.0,1,26.26466251,2.803039488,2.728873239,7.0,62.092,7_62.092,,,,
[EA]+,[F]-,zero,mica,1.667334669,2.431285504,-0.7518,46.093,0,40.0,0,0.0,45.017,2.754887502,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.632993162,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,1.7,7.0,46.093,7_46.093,,,,
[C10(C1Im)2]2+,[TFSI]-,zero,mica,1.6,4.268585015,2.8978,304.482,11,0.052,0,0.0,280.147,478.4344778,3.359227186,0,1.77,-0.16,82.38,0.0596,39.34,1.38550141,1.0593,0.0,0,298,100.0,0,384.7328028,5.284512596,0.107,2.0,304.482,2_304.482,,,,
[EA]+,[N]-,zero,mica,0.28,2.431285504,-0.7518,46.093,0,30.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,369,100.0,0,26.26466251,2.803039488,0.352,4.0,46.093,4_46.093,,,,
[EA]+,[N]-,zero,mica,0.28,2.431285504,-0.7518,46.093,0,10.0,0,0.0,62.004,2.754887502,2.192174955,1,1.77,-0.16,66.2,0.0569,27.64,1.632993162,-0.2391,0.0,0,369,100.0,0,26.26466251,2.803039488,0.258,4.0,46.093,4_46.093,,,,
[PA]+,[F]-,zero,mica,1.875,2.642365161,-0.3617,60.12,1,10.0,0,0.0,45.017,5.245112498,2.091441062,1,1.77,-0.16,40.13,0.0569,27.64,1.974744871,-1.6339,0.0,0,298,100.0,0,10.26466251,2.187496097,3.01056338,7.0,60.12,7_60.12,,,,
